Item,Status,Identifier,Source commit/version,Evidence
M19 evidence freeze,PASS_FROZEN,run 34966661492,4dd8fbd8239d05f2c7932a9a9b3b7795f0a9ab27,reference/validation/v1_release/evidence_manifest.json
GitHub release,PUBLISHED,v1.0.0; release 389966452,4dd8fbd8239d05f2c7932a9a9b3b7795f0a9ab27,https://api.github.com/repos/ahmadkhanloo/hgfx/releases/tags/v1.0.0
Final cross-platform regression,success,run 35090329868; Ubuntu=success; Windows=success,4dd8fbd8239d05f2c7932a9a9b3b7795f0a9ab27,https://api.github.com/repos/ahmadkhanloo/hgfx/actions/runs/35090329868
PyPI Trusted Publishing,success,run 35207257208; hgfx==1.0.0,8d46da2a559d869c693eb33602ac3fb0b49ab5eb,docs/planning/PYPI_PUBLISHING.md
Public PyPI install verification,success,run 35207903084; python -m pip install hgfx==1.0.0,7e37735f2521695fc20e014acab80ebfaee4bce6,docs/planning/PYPI_PUBLISHING.md
